Inventaire?,N° réf,Jeux,Classification ludothèque COL,COL adapté 1,COL adapté 2,Etat,Âge,Duree,Nbre de joueurs,Thème,Prix neuf,Jeton(s),A vendre?,Poids,Nbre de cartes,Dimension cartes,don provenance?,Date d'entrée,trictrac,titre officiel,annee de sortie,illustrateur,image_editeur,auteur,,editeur,description,caractéristique,mécanisme,Commentaires,Année de rentrée,Enfants / Adultes,Manque,Inventaire,dernier inventaire,liens vers video régles
ok,1,Time s'up family,R,EXP,EXP,Bon,8,30,4 +,Abstrait,20.9,2,,447,220,60*91,Don de Vincent,01-09-2013,http://www.trictrac.net/jeu-de-societe/time-s-up-family/infos,Time's Up ! Family,2010,,"http://img4.trictrac.net/generate/default_100_100/1359041833.B5j8Q5q.jpg
http://img3.trictrac.net/generate/default_100_100/1364137624.oG0xA.jpeg",Peter Sarrett,,,,,,,2013-2014,Adultes,5 cartes,"1 carnet, 1 sablier, règle, 220 cartes, 1 sac tissus",25/11/2018,
vendu,2,Ville de Paris,R,REF,REF,Usé,10,60,2 - 4,Ville,25,2,oui,,,,Don de Philip,01-09-2013,http://www.trictrac.net/jeu-de-societe/jeu-ville-de-paris/infos,,,,,,,,,,,,2013-2014,Adultes,1 cartes,"80 cartes; 1 plateau, 8 pions , 3 dés; 1 régle",12/08/2019,
ok,3,Wanted,R,EQU,EXP,Abimé,10,30,3 - 8,Western,35,2,,541,110,88*57,Don de ?,01-09-2013,http://www.trictrac.net/jeu-de-societe/wanted-dead-or-alive/infos,Wanted - Dead or Alive,2004,,http://img.trictrac.net/generate/default_100_100/1364138721.1r4lC.jpeg,Emiliano Sciarra,,,,,,,2013-2014,Adultes,,1 étoile;199 cartes;régles.,09/08/2019,
ok,4,Zombicide,R,COO,REF,Bon,13,60,1 - 6,Zombies,80,3,,,,,"Don de Stéphane, Vincent et Sandrine",01-09-2013,http://www.trictrac.net/jeu-de-societe/zombicide/infos,Zombicide,2012,Jean-Baptiste Lullien,"http://img.trictrac.net/generate/default_100_100/1364251823.Gh5Dv3.png
http://img4.trictrac.net/generate/default_100_100/1377612117.Mwzz5.png",Nicolas Raoult,,,,,,,2013-2014,Adultes,"1 pion bruit
1 pion objectif",9 dalles de jeu + 71 figurines + 40 marcheurs + 8 gros tas + 16 coureurs + 1 abomination + 6 dés + 4 pions voiture + 6 pions zone d'invasion + 1 pion sortie + 110 mini-cartes + 6 fiches d'identités de survivant + 10 pions objectif + 18 pions bruit + 12 pions porte + 1 pions joueur + 24 marqueurs de progression + 6 pointeurs d'expérience,09/08/2019,
ok,5,Cash & guns Live,R,EXP,EXP,Bon,10,20,8 - 20,Bandits,20,2,,250,110,88*67,Don de Sandrine,01-10-2013,,,,,,,,,,,,voir cave chateau,2013-2014,Adultes,,1 sifflet,,
A vendre,6,Ninpo,R,COM,COM,Passable,10,45,2 - 6,Asie,20,2,oui,200,120,51*90,,05-10-2013,,,,,,,,,,,,,2013-2014,Adultes,,16 marqueurs; 120 cartes; ,01/08/2019,
ok,7,Looping louie,R,ADR,ADR,Usé,4,15,2 - 4,Avions,30,2,,670,,,Don de Sandrine,01-11-2013,http://www.trictrac.net/jeu-de-societe/looping-louis/infos,Looping Louis,2006,,http://img.trictrac.net/generate/default_100_100/1359042220.QiRi2O4.gif,Carol Wiseley,,,,,,,2013-2014,Enfants,3 jetons,12 jetons + 4 lanceurs + 1 bras avec avion + 1 base,09/08/2019,
ok,8,Attrape chat,R,ASS,ASS,Bon,4,15,2 - 4,Animaux,15,1,,211,36,88 *57,Don de Bérangère,01-11-2013,,,,,,,,,,,,,2013-2014,Enfants,4 pions,25 pions + 4 chats + 1 balle + 1 souris + 1 tapis+ 36 cartes,02/08/2019,
ok,9,Bazar bizarre,R,COM,COM,Usé,8,25,2 - 8,Fantômes,14,1,,233,60,60*92,,01-11-2013,http://www.trictrac.net/jeu-de-societe/bazar-bizarre/infos,Bazar Bizarre,2011,Gabriela Silveira,"http://img2.trictrac.net/generate/default_100_100/1367829433.RkWy0q6v.jpeg
http://img3.trictrac.net/generate/default_100_100/1364140093.3v0lhF.png",Jacques Zeimet,,,,,,,2013-2014,Enfants,,"5 pieces en bois, 60 cartes, 1 règle",26/08/2019,
ok,10,Blitz,R,ASS,ASS,Bon,10,20,3 - 6,Abstrait,19,1,,,174,,,01-11-2013,,,,,,,,,,,,,2013-2014,Adultes,,"174 cartes, 1 dé plastique, 1 sachet tissus, 1 règle du jeu",06/08/2019,
vendu,12,Boîte à énigmes (La),R,QUE,QUE,Usé,16,30,2 +,Médiéval,25,2,oui,451,78,131*71,Don de Géraldine,01-11-2016,http://www.trictrac.net/jeu-de-societe/la-boite-a-enigmes/infos,La Boîte à Énigmes,2008,Ivan Sigg,http://img3.trictrac.net/generate/default_100_100/1377505935.Nb2w6Z7R.jpeg,Fabrice Mazza,,,,,,,2016-2017,Adultes,,"78 cartes (13 mots, 13 lettrerébus, 13 manipulations, 13 observation, 13 chiffres, 13 logique), 1 règle du jeu, 6 intercalaires 1 livret solution",08/11/2018,
vendu,13,Brouhaha,R,ASS,ASS,Bon,6,30,3 - 10+,Animaux,9,1,oui,,,,Don de Bérangère,01-11-2013,,,,,,,,,,,,,2013-2014,Enfants,,"2 cartes règle du jeu, 42 cartes animaux, 4 cartes chasseur",31/07/2019,
ok,14,Cata castor,R,ADR,ADR,Passable,4,10,2 - 4,Animaux,12,1,,170,,,Don de Bérangère,01-11-2013,,,,,,,,,,,,,2013-2014,Enfants,,1 paysage + 1 castor en bois + 37 troncs + 9 jetons + 1 baton,02/08/2019,
ok,15,Chat alors ! Oh my dogness!,R,EXP,EXP,Bon,4,15,2 - 6,Animaux,10,1,,120,54,87*64,Bérangère,01-11-2013,,,,,,,,Sit Down !,,,,,2013-2014,Enfants,,"11 paires de cartes chat, 11 paires de cartes chiens + 5 cartes madame chincha + 1 carte mistigri + 4 cartes blanches + 1 règle du jeux",29/07/2019,
ok,16,Grande roue (La),R,QUE,QUE,Passable,4,20,2 - 6,Abstrait,19,1,,626,124,65*65,Bérangère,01-11-2013,,,,,,,,,,,,,2013-2014,Enfants,1 cartes obs,"1 roue + 100 cartes jeu (33 observation, 33 défis, 33 devinette)  + 24 carte trophée 1 régles",07/10/2018,
ok,17,Kikiriko,R,ASS,ASS,Usé,5,20,3 - 8,Animaux,12,1,,221,112,56*85,Bérangère,01-11-2013,http://www.trictrac.net/jeu-de-societe/kikiriko/infos,Kikiriko,2008,,http://img.trictrac.net/generate/default_100_100/1364148115.sdV8Tf.jpeg,Véronique Debroise,,,,,,,2013-2014,Enfants,,112 cartes + regles,29/07/2019,
ok,18,Labyrinthe master,R,COM,COM,Usé,10,30,2 - 4,Fantasy,30,2,,900,21,53*81,,01-11-2013,http://www.trictrac.net/jeu-de-societe/labyrinthe-master/infos,Labyrinthe Master,1991,,http://img3.trictrac.net/generate/default_100_100/1358257219.y1pr0.jpg,Max J. Kobbert,,,,,,,2013-2014,Adultes,12 baguettes,1 plateau de jeu + 4 pions + 1 règle + 12 baguettes + 34 tuiles + 21 jetons ,25/11/2018,
ok,19,Licornes dans les nuages,R,PAR,PAR,Bon,3,20,2 - 4,Fantasy,12,1,,415,,,,01-11-2013,http://www.trictrac.net/jeu-de-societe/licornes-dans-les-nuages/infos,Licornes dans les nuages,2014,,http://img3.trictrac.net/generate/default_100_100/1359042025.6F2YE.jpg,Kristin Mückel,,,,,,,2013-2014,Enfants,8 cristaux,1 plateau de jeu + 4 licornes + 2 dés  + 60 cristaux + 1 règle,02/08/2019,
ok,20,Maask,R,ASS,ASS,Usé,6,15,2 - 6,Médiéval,15,1,,710,,,Don de Bérangère,01-11-2013,http://www.trictrac.net/jeu-de-societe/maask/infos,Maask,2004,,http://img.trictrac.net/generate/default_100_100/1364157360.S5r4L2.jpeg,Thierry Denoual,,,,,,,2013-2014,Enfants,,1 plateau + 12 jetons en bois + 12 pions + 2 dés,09/08/2019,
